<MATCH_ID> 34498 <TEAM> NBV Verona <SET> 3 <VALUE> 5 <PERM> ('OH', 'MB', 'S', 'OH', 'MB', 'O')
<MATCH_ID> 33708 <TEAM> Top Volley Cisterna <SET> 3 <VALUE> 4 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 33708 <TEAM> Top Volley Cisterna <SET> 4 <VALUE> 4 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 33730 <TEAM> Allianz Milano <SET> 3 <VALUE> 5 <PERM> ('S', 'OH', 'MB', 'O', 'OH', 'MB')
<MATCH_ID> 33771 <TEAM> Allianz Milano <SET> 0 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 33771 <TEAM> Allianz Milano <SET> 1 <VALUE> 5 <PERM> ('S', 'MB', 'OH', 'O', 'MB', 'OH')
<MATCH_ID> 33771 <TEAM> Allianz Milano <SET> 2 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 33771 <TEAM> Allianz Milano <SET> 3 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 33771 <TEAM> Allianz Milano <SET> 4 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 33790 <TEAM> Sir Safety Conad Perugia <SET> 0 <VALUE> 5 <PERM> ('S', 'OH', 'MB', 'O', 'OH', 'MB')
<MATCH_ID> 33790 <TEAM> Sir Safety Conad Perugia <SET> 4 <VALUE> 5 <PERM> ('OH', 'MB', 'S', 'OH', 'MB', 'O')
<MATCH_ID> 33679 <TEAM> Top Volley Cisterna <SET> 0 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 33679 <TEAM> Top Volley Cisterna <SET> 1 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 33679 <TEAM> Top Volley Cisterna <SET> 2 <VALUE> 4 <PERM> ('S', 'OH', 'MB', 'O', 'OH', 'MB')
